,Morgan,MACCS,Avalon,RDK
Tg,5336.372327,5180.788366,5776.739927,5697.185836
FFV,0.000360,0.000369,0.000376,0.000411
Tc,0.002817,0.002522,0.002817,0.002645
Density,0.005434,0.004564,0.008340,0.009761
Rg,7.250974,9.460772,11.369300,8.283673
